Transaction ID,Date,Customer ID,Product_Category,Product Name,Quantity Sold,Unit Price,Total Revenue,Profit,Region
TXN914077,6/30/2023,CUST5073,Charging Station,Fast Charger,8,434,3376.9,1406.44,Africa
TXN326593,4/1/2023,CUST9890,Charging Station,Fast Charger,7,426,3042.69,709.79,North America
TXN100012,7/13/2023,CUST8715,Solar Panel,Rigid Panel,6,460,2863.22,721.5,North America
TXN800421,4/19/2023,CUST9322,Battery Pack,"Power Bank 20,000mAh",7,738,5028.17,1710.56,Asia
TXN620551,7/13/2023,CUST1036,EV Charger,Wallbox Charger,4,782,3068.43,1027.43,South America
TXN315842,1/11/2023,CUST9121,Accessory,Charging Cable,9,417,5126.96,1910.48,South America
TXN630467,12/1/2023,CUST1120,Charging Station,Fast Charger,2,343,677.85,184.06,Africa
TXN769161,3/20/2023,CUST5745,Battery Pack,"Power Bank 20,000mAh",6,1184,7240.24,2645.58,South America
TXN671625,7/14/2023,CUST5720,Solar Panel,Rigid Panel,2,905,1819.47,532.96,Africa
TXN253328,12/7/2023,CUST1635,Accessory,Adapter,5,1498,9187.59,4388.46,Asia
TXN415325,11/16/2023,CUST1101,Solar Panel,Flexible Panel,8,60,487.79,216.55,North America
TXN248197,11/29/2023,CUST1886,EV Charger,Docking Station,6,808,5187.67,1929.6,Asia
TXN539437,1/14/2023,CUST9961,Charging Station,Fast Charger,4,1299,5472.92,1098.49,Asia
TXN478846,6/12/2023,CUST6875,Charging Station,Supercharger,1,1176,1270.57,433.23,Asia
TXN912386,5/30/2023,CUST4929,Accessory,Adapter,7,1290,9522.44,4035.6,Europe
TXN226018,1/16/2023,CUST3553,Accessory,Charging Cable,2,414,1882.57,1285.18,Asia
TXN805095,4/9/2023,CUST9700,Battery Pack,"Power Bank 20,000mAh",9,1324,11114.95,5457.29,Africa
TXN687938,3/12/2023,CUST9444,Charging Station,Supercharger,4,502,2116.85,771.54,South America
TXN280659,8/18/2023,CUST1765,EV Charger,Portable Charger,8,146,1104.82,301.82,North America
TXN210307,11/3/2023,CUST7387,Solar Panel,Flexible Panel,6,531,3319.03,965.64,South America
TXN658358,8/3/2023,CUST3766,Accessory,Charging Cable,9,469,5247.32,2227.92,Asia
TXN673231,12/25/2023,CUST1327,Accessory,Adapter,10,965,9762.26,3866.85,South America
TXN211079,9/13/2023,CUST7706,Battery Pack,"Power Bank 10,000mAh",5,1448,6786.94,2585.03,Asia
TXN636163,11/2/2023,CUST9554,Battery Pack,"Power Bank 10,000mAh",9,1437,13281.72,3250.37,South America
TXN271191,3/17/2023,CUST8749,Solar Panel,Flexible Panel,9,1136,11195.63,3326.72,Europe
TXN674923,7/10/2023,CUST8696,EV Charger,Portable Charger,2,108,219.11,107.13,North America
TXN108075,2/22/2023,CUST1443,EV Charger,Docking Station,6,521,3197.33,1435.21,North America
TXN435438,10/28/2023,CUST2668,Battery Pack,"Power Bank 10,000mAh",2,1145,2446.36,496.47,North America
TXN758380,10/24/2023,CUST8926,Battery Pack,"Power Bank 10,000mAh",3,506,1579.63,429.79,Asia
TXN933587,6/18/2023,CUST8026,Accessory,Adapter,4,536,2939.92,1683.15,Europe
TXN497947,2/17/2023,CUST2494,Solar Panel,Flexible Panel,2,1423,2568.42,1242.79,Europe
TXN346157,6/29/2023,CUST1482,Charging Station,Supercharger,6,30,196.67,81.02,Africa
TXN966836,8/3/2023,CUST9583,Charging Station,Supercharger,4,644,2808.71,949.25,Africa
TXN875727,11/23/2023,CUST4284,Battery Pack,"Power Bank 10,000mAh",1,869,947.24,338.98,Europe
TXN238911,1/30/2023,CUST3035,Solar Panel,Rigid Panel,4,1442,6054.5,1676.99,Asia
TXN530879,12/3/2023,CUST6114,Accessory,Adapter,3,973,4166.76,1919.63,Asia
TXN212985,2/1/2023,CUST8487,Accessory,Extension Cord,3,304,1921.94,1396.96,Europe
TXN417294,8/10/2023,CUST9630,Accessory,Adapter,9,315,3938.25,2203.62,Europe
TXN107975,5/10/2023,CUST9599,Battery Pack,"Power Bank 10,000mAh",10,1231,11172.26,2247.81,Europe
TXN866818,4/3/2023,CUST8036,Charging Station,Fast Charger,8,695,5565.72,2301.48,Europe
TXN162462,4/8/2023,CUST7911,Solar Panel,Flexible Panel,7,412,2840.85,1227.92,Europe
TXN144585,12/19/2023,CUST9344,Charging Station,Fast Charger,7,1182,8197.07,3402.04,Europe
TXN791230,9/7/2023,CUST3323,Solar Panel,Flexible Panel,3,875,2460.74,1188.29,Europe
TXN519749,11/4/2023,CUST1972,Battery Pack,"Power Bank 20,000mAh",1,227,229.39,102.58,Africa
TXN485233,3/24/2023,CUST6629,Battery Pack,"Power Bank 10,000mAh",5,1132,5602.84,1811.28,North America
TXN352425,12/20/2023,CUST9615,Solar Panel,Flexible Panel,10,416,4458.96,1981.4,Asia
TXN132260,8/8/2023,CUST5993,EV Charger,Cable Organizer,10,231,2192.2,880.93,Asia
TXN400868,2/22/2023,CUST9339,Solar Panel,Flexible Panel,10,738,7304.45,1975.77,Asia
TXN583095,3/29/2023,CUST4615,Charging Station,Supercharger,8,791,6280.56,2694.53,Africa
TXN476994,9/1/2023,CUST7822,Battery Pack,"Power Bank 10,000mAh",10,1193,10905.59,3807.22,Africa
TXN270900,5/23/2023,CUST4027,Battery Pack,"Power Bank 20,000mAh",5,776,3696.7,1431.92,Africa
TXN855056,10/8/2023,CUST8532,Battery Pack,"Power Bank 20,000mAh",2,1332,2463.8,556.89,North America
TXN168260,1/4/2023,CUST6994,Charging Station,Supercharger,6,360,2323.08,768.69,Europe
TXN778509,3/5/2023,CUST3843,Solar Panel,Flexible Panel,6,1051,6122.75,1686.7,South America
TXN410969,10/13/2023,CUST8455,Solar Panel,Flexible Panel,4,116,453.16,223.11,North America
TXN465115,8/25/2023,CUST6907,Charging Station,Fast Charger,8,637,5178.76,1052.78,Europe
TXN426344,4/7/2023,CUST4522,Battery Pack,"Power Bank 10,000mAh",4,652,2620.34,1028.43,South America
TXN150610,4/21/2023,CUST4362,EV Charger,Portable Charger,9,87,712.03,182.05,South America
TXN740120,11/30/2023,CUST2355,Charging Station,Fast Charger,7,345,2425.47,683.15,Europe
TXN139654,9/9/2023,CUST4011,Charging Station,Fast Charger,8,1140,9016.72,3187.81,South America
TXN657892,4/19/2023,CUST5819,Battery Pack,"Power Bank 10,000mAh",6,902,4968.88,2201.22,Africa
TXN460846,9/22/2023,CUST6648,Solar Panel,Flexible Panel,4,1092,4330.52,1102.96,Europe
TXN744779,5/1/2023,CUST7316,Charging Station,Supercharger,1,242,234.01,110.69,North America
TXN389925,12/29/2023,CUST8734,Charging Station,Fast Charger,3,454,1411.33,317.77,Asia
TXN246722,1/3/2023,CUST6742,Charging Station,Fast Charger,6,133,765.07,300.56,Europe
TXN386320,5/18/2023,CUST6938,Accessory,Charging Cable,7,152,2054.07,1218.44,Africa
TXN589402,3/16/2023,CUST9514,Charging Station,Supercharger,1,753,815.84,251.53,North America
TXN108150,5/4/2023,CUST6332,Battery Pack,"Power Bank 10,000mAh",3,990,2720.66,917.35,Europe
TXN947013,1/9/2023,CUST6190,Solar Panel,Rigid Panel,3,468,1315.3,651.09,South America
TXN376918,4/20/2023,CUST2758,Charging Station,Fast Charger,9,934,8317.57,4092.75,South America
TXN417291,9/9/2023,CUST6767,Battery Pack,"Power Bank 10,000mAh",4,253,1041.19,211.21,Europe
TXN714432,8/20/2023,CUST1720,Charging Station,Supercharger,7,733,5372.53,2294.86,Europe
TXN261016,12/8/2023,CUST4299,Accessory,Charging Cable,2,1333,3683.93,2052.86,North America
TXN957719,10/27/2023,CUST4433,Battery Pack,"Power Bank 20,000mAh",9,368,3315.23,1174.26,North America
TXN566074,5/3/2023,CUST3105,EV Charger,Docking Station,2,464,983.91,306.51,Europe
TXN698816,10/10/2023,CUST1496,EV Charger,Docking Station,3,936,3050.05,972.88,Europe
TXN499343,8/30/2023,CUST5210,Battery Pack,"Power Bank 10,000mAh",3,627,1806.02,439.91,Asia
TXN853448,5/19/2023,CUST1702,EV Charger,Cable Organizer,10,1457,15390.45,3690.74,Europe
TXN632020,2/21/2023,CUST3668,Battery Pack,"Power Bank 20,000mAh",5,1488,7169.99,2203.07,Asia
TXN801606,5/23/2023,CUST2169,EV Charger,Cable Organizer,1,374,390.62,124.7,Asia
TXN637108,6/18/2023,CUST8652,Battery Pack,"Power Bank 20,000mAh",10,827,7620.93,3139.61,South America
TXN283379,4/30/2023,CUST2019,Charging Station,Fast Charger,8,1448,10682.41,5319.49,Africa
TXN662360,6/20/2023,CUST9976,Charging Station,Fast Charger,5,58,276.65,77.32,South America
TXN817880,12/6/2023,CUST5065,Battery Pack,"Power Bank 20,000mAh",9,613,5174.53,2046.63,Europe
TXN822151,12/5/2023,CUST4961,Battery Pack,"Power Bank 20,000mAh",8,545,4794.09,2233.01,North America
TXN256805,3/30/2023,CUST9245,Solar Panel,Rigid Panel,2,885,1874.88,833.37,Africa
TXN257970,7/15/2023,CUST3842,Battery Pack,"Power Bank 20,000mAh",1,142,144.63,64.04,North America
TXN485259,9/14/2023,CUST6519,Accessory,Adapter,3,293,1906.77,1419.51,Africa
TXN670444,7/9/2023,CUST3883,Accessory,Extension Cord,6,1376,8784.96,4601.67,South America
TXN478996,11/30/2023,CUST8764,Solar Panel,Flexible Panel,3,1220,3497.94,915.48,South America
TXN666526,3/14/2023,CUST6439,Battery Pack,"Power Bank 10,000mAh",9,1225,11765.64,3898.43,North America
TXN490087,8/25/2023,CUST9645,EV Charger,Wallbox Charger,3,1371,4093.52,1007.11,Africa
TXN854842,10/27/2023,CUST5924,Battery Pack,"Power Bank 20,000mAh",7,249,1690.44,401.18,Africa
TXN654907,1/1/2023,CUST9790,Accessory,Cable Clips,4,45,1176.69,1066.21,South America
TXN332379,2/17/2023,CUST7505,EV Charger,Docking Station,3,404,1256.47,504.06,Asia
TXN798299,12/22/2023,CUST7877,Charging Station,Supercharger,1,1305,1243.3,330.09,Asia
TXN525737,8/28/2023,CUST5351,Charging Station,Supercharger,10,121,1301.37,542.45,North America
TXN999820,10/3/2023,CUST5424,Solar Panel,Flexible Panel,9,944,7806.54,1906.8,Europe
TXN894856,9/24/2023,CUST3990,Accessory,Adapter,9,378,4436.48,1896.48,Africa
TXN391955,11/24/2023,CUST8431,Battery Pack,"Power Bank 10,000mAh",2,169,344.97,102.39,Asia
TXN982352,2/15/2023,CUST4656,EV Charger,Wallbox Charger,3,327,1069.15,374.5,Europe
TXN412775,9/3/2023,CUST9924,EV Charger,Portable Charger,4,243,1067.52,462.04,Africa
TXN558691,5/30/2023,CUST1272,Solar Panel,Rigid Panel,4,1138,4907.1,1443.83,Africa
TXN636648,3/21/2023,CUST4568,EV Charger,Docking Station,8,765,5684.4,2799.35,Africa
TXN757262,5/25/2023,CUST9245,Accessory,Extension Cord,9,553,6444.76,3119.57,Asia
TXN301855,8/28/2023,CUST1344,EV Charger,Portable Charger,7,365,2305.91,570.34,North America
TXN158352,8/14/2023,CUST5000,Charging Station,Fast Charger,3,1464,4384.35,1501.75,North America
TXN504826,2/3/2023,CUST9442,Charging Station,Fast Charger,4,1139,5010.29,1459.03,Europe
TXN980992,1/18/2023,CUST4353,Accessory,Adapter,8,884,8744.84,4527.26,North America
TXN367168,6/30/2023,CUST8884,Solar Panel,Flexible Panel,5,821,3902.69,1202.82,Asia
TXN561821,10/16/2023,CUST6335,Accessory,Cable Clips,4,227,1897.02,1352.03,Europe
TXN220150,7/20/2023,CUST1175,EV Charger,Docking Station,6,613,3889.27,1222.09,Africa
TXN115449,11/4/2023,CUST7706,Charging Station,Supercharger,6,249,1472.68,734.25,North America
TXN591623,4/30/2023,CUST2131,Battery Pack,"Power Bank 20,000mAh",7,229,1740.17,659.34,Africa
TXN495993,5/1/2023,CUST2988,Solar Panel,Rigid Panel,8,547,4028.27,1695.22,Asia
TXN812064,8/14/2023,CUST7246,EV Charger,Docking Station,10,924,8963.4,2953.96,Europe
TXN130199,2/6/2023,CUST2925,EV Charger,Cable Organizer,3,1230,3791.06,1373.25,Europe
TXN717025,8/27/2023,CUST4004,Charging Station,Fast Charger,8,398,2999.46,714.52,Asia
TXN689413,7/4/2023,CUST4199,Battery Pack,"Power Bank 20,000mAh",1,737,773.74,246.83,Europe
TXN323546,1/24/2023,CUST8602,Accessory,Charging Cable,1,774,1720.09,1262.28,Africa
TXN239810,10/16/2023,CUST7912,Accessory,Extension Cord,10,899,10228.12,5477.42,Asia
TXN271319,2/5/2023,CUST5067,EV Charger,Cable Organizer,6,699,4160.15,1758,Europe
TXN142245,12/22/2023,CUST2650,Accessory,Cable Clips,2,257,1488.05,1135.26,Africa
TXN919266,6/19/2023,CUST8386,Charging Station,Fast Charger,5,454,2373.21,832.28,North America
TXN837498,12/12/2023,CUST4895,Battery Pack,"Power Bank 10,000mAh",7,1197,8069.16,2204.22,South America
TXN421106,7/8/2023,CUST9804,Accessory,Cable Clips,1,51,1049.94,1012.11,Asia
TXN492942,4/21/2023,CUST7296,Accessory,Adapter,7,985,7409.53,4169.4,Europe
TXN947317,4/23/2023,CUST5808,Accessory,Extension Cord,8,48,1379.26,1087.55,South America
TXN545673,3/25/2023,CUST3317,EV Charger,Docking Station,8,1043,7611.48,3388.71,Europe
TXN233563,6/19/2023,CUST2648,Accessory,Charging Cable,5,630,4275.11,2288.82,Africa
TXN695219,1/24/2023,CUST2175,EV Charger,Cable Organizer,3,835,2728.1,624.5,South America
TXN919368,3/9/2023,CUST6826,Battery Pack,"Power Bank 10,000mAh",4,1206,4666.62,2308.84,Europe
TXN885848,12/8/2023,CUST8562,Battery Pack,"Power Bank 20,000mAh",1,710,687.63,164.04,Asia
TXN682966,3/20/2023,CUST4115,Charging Station,Supercharger,5,1038,5574.18,1249.19,North America
TXN491064,12/6/2023,CUST9635,Battery Pack,"Power Bank 20,000mAh",7,850,5795.6,1197.78,North America
TXN968458,1/25/2023,CUST3166,Charging Station,Fast Charger,7,1382,9260.22,3159.75,Asia
TXN251899,9/25/2023,CUST5935,EV Charger,Wallbox Charger,8,469,3795.74,1584.75,Europe
TXN641328,6/25/2023,CUST5450,Accessory,Charging Cable,8,951,9293.88,4113.13,Africa
TXN494100,1/28/2023,CUST4022,EV Charger,Portable Charger,3,1203,3736.88,866.94,Asia
TXN788932,7/15/2023,CUST3101,Charging Station,Supercharger,5,743,3501.92,807.52,Africa
TXN917594,9/9/2023,CUST5775,Charging Station,Fast Charger,6,1059,5809.43,1599.77,North America
TXN423933,6/26/2023,CUST8286,Solar Panel,Flexible Panel,10,497,4807.51,2182.8,Europe
TXN630991,10/16/2023,CUST8715,EV Charger,Docking Station,10,56,588.16,270.96,South America
TXN726718,9/11/2023,CUST1509,Battery Pack,"Power Bank 20,000mAh",1,1423,1490.32,462.45,North America
TXN222254,8/14/2023,CUST3701,Charging Station,Supercharger,5,1459,7393.24,3424.45,North America
TXN209186,5/27/2023,CUST6194,Accessory,Charging Cable,9,1167,10476.6,3500.3,Africa
TXN350812,6/24/2023,CUST7678,Solar Panel,Rigid Panel,5,891,4841.27,1760.68,Africa
TXN578837,2/13/2023,CUST3996,EV Charger,Cable Organizer,8,409,3084.09,1511.95,South America
TXN446845,10/29/2023,CUST4579,Charging Station,Supercharger,4,432,1664.94,721,North America
TXN408693,4/25/2023,CUST7739,Battery Pack,"Power Bank 10,000mAh",2,714,1459.48,374.18,South America
TXN790295,4/1/2023,CUST1103,Solar Panel,Flexible Panel,5,676,3430.19,1040.55,Europe
TXN909278,4/20/2023,CUST8824,Accessory,Extension Cord,6,711,5345.83,2576.1,Asia
TXN374354,5/29/2023,CUST5828,Charging Station,Supercharger,5,1088,5715.41,2109.99,South America
TXN517840,8/3/2023,CUST2353,Solar Panel,Rigid Panel,8,692,4982.93,1247.83,Asia
TXN875318,1/7/2023,CUST4270,Charging Station,Supercharger,7,1038,7012.38,3002.79,South America
TXN612282,6/28/2023,CUST9781,Charging Station,Supercharger,5,1200,5757.72,1500.14,Africa
TXN473912,11/16/2023,CUST6851,EV Charger,Wallbox Charger,10,1464,14669.11,5071.03,Europe
TXN126760,6/8/2023,CUST6059,Accessory,Charging Cable,6,567,4155.84,2261.98,Africa
TXN943042,8/18/2023,CUST4413,Accessory,Cable Clips,3,380,2241.96,1501.32,Europe
TXN115782,8/15/2023,CUST5600,Solar Panel,Flexible Panel,3,789,2409.61,1028.08,North America
TXN348739,6/9/2023,CUST3908,Accessory,Charging Cable,10,675,7445.12,2454.16,South America
TXN700704,5/3/2023,CUST3911,Solar Panel,Rigid Panel,6,1496,8279.74,1792.24,Africa
TXN377065,2/16/2023,CUST8354,Solar Panel,Rigid Panel,2,635,1241.78,611.65,South America
TXN914891,2/16/2023,CUST1422,EV Charger,Wallbox Charger,2,553,1087.07,227.9,Asia
TXN777171,5/16/2023,CUST8307,Solar Panel,Rigid Panel,5,1409,7052.13,1725.18,Asia
TXN490217,11/2/2023,CUST2846,Accessory,Extension Cord,9,417,4978.76,2388.94,Africa
TXN866749,2/23/2023,CUST6190,Accessory,Extension Cord,7,345,3609.99,1785.81,Asia
TXN556164,11/17/2023,CUST7279,EV Charger,Portable Charger,2,1411,2864.43,827.9,Europe
TXN208293,6/24/2023,CUST1991,Solar Panel,Rigid Panel,2,1300,2853.73,1390.9,South America
TXN852553,2/22/2023,CUST2710,EV Charger,Portable Charger,3,39,114.78,51.52,South America
TXN950772,8/21/2023,CUST6728,Charging Station,Fast Charger,10,730,7836.11,2356.9,Africa
TXN754659,9/9/2023,CUST1112,Accessory,Adapter,8,1290,11776.3,5932.92,Africa
TXN499339,12/15/2023,CUST4351,Charging Station,Supercharger,9,693,6835.73,3077.84,Asia
TXN160429,12/20/2023,CUST6578,Solar Panel,Rigid Panel,6,151,953.93,465.59,South America
TXN825841,12/11/2023,CUST9010,Solar Panel,Flexible Panel,6,601,3329.9,768.56,South America
TXN697317,4/30/2023,CUST3794,EV Charger,Portable Charger,3,212,637.62,204.68,South America
TXN465240,5/11/2023,CUST6185,Accessory,Charging Cable,3,975,3797.3,2392.09,Africa
TXN990831,5/12/2023,CUST7176,Solar Panel,Flexible Panel,1,134,143.26,59.55,Asia
TXN185298,3/2/2023,CUST6191,Accessory,Cable Clips,10,405,5191.22,2438.79,South America
TXN918392,8/7/2023,CUST8136,Charging Station,Fast Charger,4,648,2691.41,1142.26,Asia
TXN392652,9/3/2023,CUST5897,Solar Panel,Rigid Panel,9,1045,9372.63,2429.71,South America
TXN881793,12/14/2023,CUST4508,Charging Station,Fast Charger,9,149,1389.63,666.18,Asia
TXN315738,8/28/2023,CUST4854,Accessory,Cable Clips,4,611,3386.43,2137.38,South America
TXN457678,12/26/2023,CUST3832,Solar Panel,Flexible Panel,9,264,2179.08,717.79,Asia
TXN845924,6/30/2023,CUST9158,Solar Panel,Rigid Panel,10,1093,11923.27,4383.89,Europe
TXN276241,7/8/2023,CUST7318,Accessory,Cable Clips,2,818,2616.16,1719.91,North America
TXN735308,6/23/2023,CUST9118,EV Charger,Cable Organizer,8,1238,10299.91,5081.97,North America
TXN788521,3/3/2023,CUST5254,Battery Pack,"Power Bank 20,000mAh",7,575,4373.39,914.8,Europe
TXN450326,9/3/2023,CUST7810,Battery Pack,"Power Bank 10,000mAh",3,836,2417.12,1116.71,Africa
TXN393478,12/19/2023,CUST7204,Charging Station,Fast Charger,4,298,1207.13,541.96,Asia
TXN132397,4/2/2023,CUST6351,EV Charger,Portable Charger,3,624,1869.03,499.07,South America
TXN310595,4/16/2023,CUST1231,Solar Panel,Rigid Panel,4,104,452.99,212.64,Asia
TXN833042,11/24/2023,CUST8927,Accessory,Adapter,8,286,3157.62,1765.98,Europe
TXN914959,12/11/2023,CUST5579,Battery Pack,"Power Bank 10,000mAh",10,272,2870.21,744.34,Africa
TXN271587,1/23/2023,CUST6083,EV Charger,Docking Station,9,426,3587.99,1548.52,Europe
TXN165803,5/2/2023,CUST9924,EV Charger,Wallbox Charger,8,1343,10093.29,3620.56,Africa
TXN845196,1/12/2023,CUST7240,EV Charger,Wallbox Charger,6,1426,7846.74,1813.83,Europe
TXN175026,5/17/2023,CUST7548,EV Charger,Portable Charger,1,173,188.24,73.63,North America
TXN512332,9/14/2023,CUST5266,Battery Pack,"Power Bank 10,000mAh",1,471,445.63,170.99,Europe
TXN175477,10/20/2023,CUST1984,Battery Pack,"Power Bank 10,000mAh",10,1204,12473.39,5444.06,South America
TXN441249,12/5/2023,CUST2115,Accessory,Adapter,1,1206,2200.96,1315.87,Europe
TXN466450,3/17/2023,CUST8988,EV Charger,Wallbox Charger,2,626,1184.55,299.11,South America
TXN502452,2/24/2023,CUST3211,Solar Panel,Rigid Panel,7,1493,11387.42,2921.56,South America
TXN897761,7/28/2023,CUST4220,Accessory,Extension Cord,10,882,9085.47,3017.61,South America
TXN598305,3/13/2023,CUST3367,Accessory,Extension Cord,10,416,5221.01,2506.86,Asia
TXN667425,9/4/2023,CUST4787,Charging Station,Supercharger,4,1385,5358.87,2336.51,North America
TXN393164,8/13/2023,CUST1139,Battery Pack,"Power Bank 20,000mAh",3,782,2352.86,808.53,South America
TXN271991,2/23/2023,CUST3251,Solar Panel,Rigid Panel,5,1050,5408.28,1492.36,South America
TXN254881,6/24/2023,CUST3247,Solar Panel,Rigid Panel,8,1126,9468.19,3098.96,Europe
TXN192056,12/17/2023,CUST9257,Accessory,Charging Cable,9,1429,13691.38,4417.33,South America
TXN468565,8/12/2023,CUST2273,Accessory,Adapter,1,329,1297.62,1060.05,Africa
TXN254387,8/29/2023,CUST7392,EV Charger,Portable Charger,8,1437,11315.33,5342.4,Asia
TXN378297,8/13/2023,CUST7983,Accessory,Adapter,9,185,2624.02,1687.68,Africa
TXN425585,5/12/2023,CUST5679,Battery Pack,"Power Bank 20,000mAh",5,611,3196.34,957.78,South America
TXN509034,11/7/2023,CUST8814,Solar Panel,Flexible Panel,8,73,619.63,174.72,North America
TXN793689,9/29/2023,CUST5358,EV Charger,Docking Station,6,488,3087.5,839.79,South America
TXN143542,12/25/2023,CUST3594,Charging Station,Fast Charger,9,1070,9383.37,1989.51,South America
TXN586952,12/25/2023,CUST3082,Solar Panel,Rigid Panel,3,1435,3923.53,1525.05,North America
TXN735577,10/11/2023,CUST5542,Accessory,Extension Cord,6,1227,9064.48,3562.02,South America
TXN780094,6/5/2023,CUST7059,EV Charger,Portable Charger,8,210,1766.67,498.83,South America
TXN323450,10/11/2023,CUST5733,EV Charger,Cable Organizer,7,296,1976.27,489.46,South America
TXN856278,7/9/2023,CUST4562,EV Charger,Docking Station,10,1264,11742.85,3239.81,North America
TXN257227,12/24/2023,CUST8200,Battery Pack,"Power Bank 10,000mAh",5,632,2965.29,1216.52,North America
TXN451491,6/3/2023,CUST1668,Battery Pack,"Power Bank 10,000mAh",6,202,1259.49,479.74,North America
TXN276239,3/14/2023,CUST6990,EV Charger,Portable Charger,3,1153,3134.73,1215.28,Europe
TXN309441,7/21/2023,CUST9382,Charging Station,Fast Charger,5,862,4085.16,1438.44,Africa
TXN277997,5/10/2023,CUST1078,Battery Pack,"Power Bank 20,000mAh",4,966,3735.57,1229.15,Africa
TXN712060,1/19/2023,CUST7878,EV Charger,Cable Organizer,7,1080,7361.13,3309.12,South America
TXN317974,12/19/2023,CUST5260,Battery Pack,"Power Bank 20,000mAh",8,816,6467.99,1812.33,North America
